Date,A,B,C,D,E
16-08-2023,7,19,20,24,33
15-08-2023,17,23,27,33,42
14-08-2023,19,20,22,33,35
13-08-2023,4,6,10,18,34
12-08-2023,8,18,27,38,39
11-08-2023,10,15,23,29,38
10-08-2023,16,22,27,32,38
09-08-2023,2,18,37,38,40
08-08-2023,6,14,19,27,37
07-08-2023,1,13,18,27,32
06-08-2023,1,8,14,28,35
05-08-2023,7,16,25,35,38
04-08-2023,13,19,30,36,42
03-08-2023,4,6,7,15,16
02-08-2023,16,18,25,39,42
01-08-2023,1,5,22,28,36
31-07-2023,5,8,9,26,41
30-07-2023,5,13,26,28,37
29-07-2023,1,12,16,34,41
28-07-2023,1,13,30,41,42
27-07-2023,9,26,39,40,41
26-07-2023,18,21,32,34,42
25-07-2023,4,13,19,30,34
24-07-2023,8,20,22,24,33
23-07-2023,5,25,28,30,31
22-07-2023,5,16,28,30,41
21-07-2023,4,16,28,29,33
20-07-2023,7,19,25,29,34
19-07-2023,2,4,5,28,42
18-07-2023,9,11,15,16,24
17-07-2023,9,18,25,35,42
16-07-2023,4,9,14,15,24
15-07-2023,8,14,19,31,33
14-07-2023,2,11,12,27,42
13-07-2023,12,13,23,35,42
12-07-2023,2,4,6,13,36
11-07-2023,2,4,15,23,33
10-07-2023,3,15,24,31,38
09-07-2023,1,4,19,25,40
08-07-2023,14,26,29,33,42
07-07-2023,5,8,13,20,29
06-07-2023,1,6,12,18,21
05-07-2023,3,19,20,30,38
04-07-2023,2,19,22,26,28
03-07-2023,5,16,18,23,41
02-07-2023,5,12,34,36,38
01-07-2023,10,14,19,23,25
30-06-2023,11,18,20,28,35
29-06-2023,7,13,19,33,41
28-06-2023,17,18,27,29,42
27-06-2023,3,5,10,13,34
26-06-2023,4,5,23,26,27
25-06-2023,5,15,20,23,27
24-06-2023,7,10,11,21,23
23-06-2023,20,24,25,27,30
22-06-2023,11,12,23,39,40
21-06-2023,17,18,21,24,40
20-06-2023,5,17,19,30,32
19-06-2023,1,8,9,25,35
18-06-2023,11,12,13,16,27
17-06-2023,8,14,21,25,40
16-06-2023,12,15,34,36,37
15-06-2023,6,10,31,41,42
14-06-2023,4,7,11,23,24
13-06-2023,7,15,22,31,35
12-06-2023,10,15,18,26,38
11-06-2023,5,12,29,34,37
10-06-2023,1,8,10,11,30
09-06-2023,4,7,11,22,39
08-06-2023,2,7,14,24,28
07-06-2023,1,7,12,19,26
06-06-2023,1,16,17,35,42
05-06-2023,3,21,25,26,42
04-06-2023,3,10,13,29,32
03-06-2023,2,3,23,27,32
02-06-2023,3,7,20,36,39
01-06-2023,5,16,20,26,41
31-05-2023,1,6,17,18,29
30-05-2023,11,13,36,37,40
29-05-2023,18,26,33,34,40
28-05-2023,4,17,19,21,25
27-05-2023,7,16,34,38,40
26-05-2023,9,24,26,36,42
25-05-2023,4,7,17,19,33
24-05-2023,7,9,21,39,42
23-05-2023,1,14,24,25,26
22-05-2023,9,10,18,21,31
21-05-2023,5,9,15,25,36
20-05-2023,5,10,12,16,29
19-05-2023,4,7,29,36,40
18-05-2023,2,21,24,35,37
17-05-2023,10,16,33,37,41
16-05-2023,9,13,21,22,41
15-05-2023,11,22,25,35,36
14-05-2023,12,14,17,23,35
13-05-2023,15,17,19,24,34
12-05-2023,4,22,25,30,35
11-05-2023,1,6,17,34,39
10-05-2023,8,9,11,26,38
